Car model,Distance (KM),Fuel pumped,Estimated fuel usage,Consumption (KM/L),Fuel cost,Pumped fuel cost,Mileage cost ($0.39),Cost per KM,Duration cost,Total,Date,Est original fuel savings,Weekday/weekend,Rental hour,Car Cat,Cost/HR,Unnamed: 17,Cost/HR.1,Month of rental,Month,Year,Excel_Calculated_consumption,Excel_Calculated_fuel_cost,Excel_Calculated_pumped_fuel_cost,Excel_Calculated_mileage_cost,Excel_Calculated_cost_per_km,Excel_Calculated_total,Excel_Calculated_original_fuel_savings,Excel_Calculated_weekday_weekend,Excel_Calculated_cost_hr,Excel_Calculated_cost_hr_adjusted,kWh Used,Electricity Cost
Toyota Corolla Altis,25.6,7.22,4.2,6.1,10.55,17.81,0.0,2.39,43.26,61.07,2022-09-16,1.98,weekend,3.0,Econ,14.42,late,$11.09,9.0,9.0,2022.0,4.19672131147541,10.548720000000001,18.133752,0.0,1.1204090625,28.682472000000004,1.1720799999999993,weekend,14.42,11.086666666666666,,
Honda Vezel,42.0,0.0,3.2,13.13,8.04,0.0,16.38,1.59,50.38,66.76,2022-09-28,0.0,weekday,3.0,Car Club,22.25,late,$18.92,9.0,9.0,2022.0,3.1987814166031985,8.03712,0.0,13.860000000000001,0.52136,21.89712,0.8930133333333323,weekday,0.17378666666666667,-3.159546666666667,,
Toyota Wish (2008),75.0,9.06,4.8,15.63,12.06,22.75,0.0,1.03,54.26,77.01,2022-10-08,2.53,weekend,5.0,Econ,10.85,,$10.85,10.0,10.0,2022.0,4.798464491362764,12.05568,22.755096,0.0,0.46414368000000006,34.810776000000004,1.3395200000000003,weekend,10.852,10.852,,
Mazda 3,96.0,0.0,8.1,11.85,20.34,0.0,37.44,0.77,36.22,73.66,2022-10-14,0.0,weekend,4.0,Getgo,9.06,,$9.06,10.0,10.0,2022.0,8.10126582278481,20.34396,0.0,37.44,0.6019162499999999,57.78395999999999,2.260439999999999,weekend,9.055,9.055,,
Honda Fit,11.77,0.0,0.64,18.39,1.61,0.0,4.59,2.73,27.54,32.13,2022-10-16,0.0,weekday,2.0,Car Club,16.07,,$16.07,10.0,10.0,2022.0,0.6400217509516041,1.607424,0.0,3.8841,0.4665695836873407,5.491524,0.1786026666666667,weekday,0.23328479184367035,0.23328479184367035,,
Toyota Wish (2012),18.7,0.0,3.0,6.23,7.53,0.0,0.0,1.16,21.7,21.7,2022-10-24,0.0,weekday,2.0,Econ,10.85,,$10.85,10.0,10.0,2022.0,3.0016051364365968,7.534800000000001,0.0,0.0,0.4029304812834225,7.534800000000001,0.8371999999999993,weekday,10.85,10.85,,
Honda Fit,68.9,7.17,3.0,22.97,7.53,18.01,0.0,0.81,37.97,55.98,2022-11-06,2.0,weekday,3.25,Stand,11.68,,$11.68,11.0,11.0,2022.0,2.9995646495428825,7.534800000000001,18.008172000000002,0.0,0.3707252830188679,25.542972000000002,0.8371999999999993,weekday,11.683076923076923,11.683076923076923,,
Honda Fit,65.8,10.6,3.94,16.7,10.09,27.6,0.0,1.11,45.21,72.81,2022-11-10,3.07,weekday,5.0,Stand,9.04,,$9.04,11.0,11.0,2022.0,3.940119760479042,9.895704,26.62296,0.0,0.5549948936170214,36.518664,1.099522666666667,weekday,9.042,9.042,,
Toyota Wish (2012),27.4,0.0,6.0,4.57,15.07,0.0,0.0,0.64,17.57,17.57,2022-11-10,0.0,weekday,2.25,Econ,7.81,,$7.81,11.0,11.0,2022.0,5.9956236323851195,15.069600000000001,0.0,0.0,0.5499854014598541,15.069600000000001,1.6743999999999986,weekday,7.808888888888889,7.808888888888889,,
Honda Fit,68.2,0.0,3.92,17.4,9.84,0.0,0.0,0.54,37.0,37.0,2022-11-13,0.0,weekday,2.25,Stand,16.44,late,$12.00,11.0,11.0,2022.0,3.919540229885058,9.845472000000001,0.0,0.0,0.1443617595307918,9.845472000000001,1.0939413333333334,weekday,16.444444444444443,12.0,,
Honda Fit,76.1,0.0,4.61,16.5,11.58,0.0,0.0,0.48,36.44,36.44,2022-11-17,0.0,weekday,5.25,Stand,6.94,,$6.94,11.0,11.0,2022.0,4.612121212121211,11.578476,0.0,0.0,0.152148173455979,11.578476,1.2864973333333332,weekday,6.94095238095238,6.94095238095238,,
Toyota Corolla Axio,138.9,8.87,6.75,20.58,16.95,22.27,0.0,0.58,57.74,80.01,2022-11-17,2.47,weekday,8.0,Stand,7.22,,$7.22,11.0,11.0,2022.0,6.7492711370262395,16.9533,22.277891999999998,0.0,0.2824419870410367,39.23119199999999,1.883700000000001,weekday,7.2175,7.2175,,
